bioguide_id,name,state,district,party,fec_ids
B001323,Nicholas J. Begich III,AK,0,R,H2AK01083
M001212,Barry Moore,AL,1,R,H8AL02171
F000481,Shomari Figures,AL,2,D,H4AL02170
R000575,Mike Rogers,AL,3,R,H2AL03032
A000055,Robert B. Aderholt,AL,4,R,H6AL04098
S001220,Dale W. Strong,AL,5,R,H2AL05102
P000609,Gary J. Palmer,AL,6,R,H4AL06098
S001185,Terri A. Sewell,AL,7,D,H0AL07086
C001087,"Eric A. ""Rick"" Crawford",AR,1,R,H0AR01083
H001072,J. French Hill,AR,2,R,H4AR02141
W000809,Steve Womack,AR,3,R,H0AR03055
W000821,Bruce Westerman,AR,4,R,H4AR04048
R000600,Aumua Amata Coleman Radewagen,AS,0,R,H4AS00036
S001183,David Schweikert,AZ,1,R,"H4AZ06045,H8AZ05097"
C001132,Elijah Crane,AZ,2,R,H2AZ01354
A000381,Yassamin Ansari,AZ,3,D,H4AZ03109
S001211,Greg Stanton,AZ,4,D,H8AZ09040
B001302,Andy Biggs,AZ,5,R,H6AZ05083
C001133,Juan Ciscomani,AZ,6,R,H2AZ02360
H001098,Abraham J. Hamadeh,AZ,8,R,H4AZ08108
G000565,Paul A. Gosar,AZ,9,R,H0AZ01259
L000578,Doug LaMalfa,CA,1,R,"H2CA02142,H2CA01144"
H001068,Jared Huffman,CA,2,D,H2CA06259
K000401,Kevin Kiley,CA,3,R,H2CA03157
T000460,Mike Thompson,CA,4,D,H8CA01109
M001177,Tom McClintock,CA,5,R,"H8CA04152,H6CA21135"
B001287,Ami Bera,CA,6,D,H0CA03078
M001163,Doris O. Matsui,CA,7,D,H6CA05195
G000559,John Garamendi,CA,8,D,H0CA10149
H001090,Josh Harder,CA,9,D,H8CA10126
D000623,Mark DeSaulnier,CA,10,D,H0CA10073
P000197,Nancy Pelosi,CA,11,D,H8CA05035
S001231,Lateefah Simon,CA,12,D,H4CA12154
G000605,Adam Gray,CA,13,D,H2CA13115
S001193,Eric Swalwell,CA,14,D,H2CA15094
M001225,Kevin Mullin,CA,15,D,H2CA14162
L000607,Sam T. Liccardo,CA,16,D,H4CA16197
K000389,Ro Khanna,CA,17,D,H4CA12055
L000397,Zoe Lofgren,CA,18,D,H4CA16049
P000613,Jimmy Panetta,CA,19,D,H6CA20152
F000480,Vince Fong,CA,20,R,H4CA20181
C001059,Jim Costa,CA,21,D,H4CA20082
V000129,David G. Valadao,CA,22,R,H2CA20094
O000019,Jay Obernolte,CA,23,R,H0CA08135
C001112,Salud O. Carbajal,CA,24,D,H6CA24303
R000599,Raul Ruiz,CA,25,D,H2CA36439
B001285,Julia Brownley,CA,26,D,H2CA00120
W000830,George Whitesides,CA,27,D,H4CA27111
C001080,Judy Chu,CA,28,D,H0CA32101
R000620,Luz M. Rivas,CA,29,D,H4CA29141
F000483,Laura Friedman,CA,30,D,H4CA30149
C001123,"Gilbert Ray Cisneros, Jr.",CA,31,D,H8CA39174
S000344,Brad Sherman,CA,32,D,H6CA24113
A000371,Pete Aguilar,CA,33,D,H2CA31125
G000585,Jimmy Gomez,CA,34,D,H8CA34266
T000474,Norma J. Torres,CA,35,D,H4CA35031
L000582,Ted Lieu,CA,36,D,H4CA33119
K000400,Sydney Kamlager-Dove,CA,37,D,H2CA37304
S001156,Linda T. Sánchez,CA,38,D,H2CA39078
T000472,Mark Takano,CA,39,D,H2CA43245
K000397,Young Kim,CA,40,R,H8CA39240
C000059,Ken Calvert,CA,41,R,H2CA37023
G000598,Robert Garcia,CA,42,D,H2CA47188
W000187,Maxine Waters,CA,43,D,H4CA23011
B001300,Nanette Diaz Barragán,CA,44,D,H6CA44103
T000491,Derek Tran,CA,45,D,H4CA45170
C001110,J. Luis Correa,CA,46,D,H6CA46116
M001241,Dave Min,CA,47,D,H4CA47085
I000056,Darrell Issa,CA,48,R,"H0CA48024,S8CA00135"
L000593,Mike Levin,CA,49,D,H8CA49058
P000608,Scott H. Peters,CA,50,D,H2CA52089
J000305,Sara Jacobs,CA,51,D,H8CA49074
V000130,Juan Vargas,CA,52,D,H2CA50026
D000197,Diana DeGette,CO,1,D,H6CO01141
N000191,Joe Neguse,CO,2,D,H8CO02160
H001100,Jeff Hurd,CO,3,R,H4CO03357
B000825,Lauren Boebert,CO,4,R,H0CO03165
C001137,Jeff Crank,CO,5,R,H6CO05142
C001121,Jason Crow,CO,6,D,H8CO06229
P000620,Brittany Pettersen,CO,7,D,H8CO07045
E000300,Gabe Evans,CO,8,R,H4CO08034
L000557,John B. Larson,CT,1,D,H8CT01046
C001069,Joe Courtney,CT,2,D,H2CT02112
D000216,Rosa L. DeLauro,CT,3,D,H0CT03072
H001047,James A. Himes,CT,4,D,H8CT04172
H001081,Jahana Hayes,CT,5,D,H8CT05245
N000147,Eleanor Holmes Norton,DC,0,D,H0DC00058
M001238,Sarah McBride,DE,0,D,H4DE00045
P000622,Jimmy Patronis,FL,1,R,H6FL01390
D000628,Neal P. Dunn,FL,2,R,H6FL02208
C001039,Kat Cammack,FL,3,R,H0FL03175
B001314,Aaron Bean,FL,4,R,H2FL04211
R000609,John H. Rutherford,FL,5,R,H6FL04105
F000484,Randy Fine,FL,6,R,H6FL06258
M001216,Cory Mills,FL,7,R,H2FL07156
H001099,Mike Haridopolos,FL,8,R,H4FL08168
S001200,Darren Soto,FL,9,D,H6FL09179
F000476,Maxwell Frost,FL,10,D,H2FL10259
W000806,Daniel Webster,FL,11,R,"H0FL08208,S4FL00256"
B001257,Gus M. Bilirakis,FL,12,R,H6FL09070
L000596,Anna Paulina Luna,FL,13,R,H0FL13158
C001066,Kathy Castor,FL,14,D,"H6FL11126,H6FL11134"
L000597,Laurel M. Lee,FL,15,R,H2FL15241
B001260,Vern Buchanan,FL,16,R,H6FL13148
S001214,W. Gregory Steube,FL,17,R,H8FL17053
F000472,Scott Franklin,FL,18,R,H0FL15104
D000032,Byron Donalds,FL,19,R,H2FL14186
C001127,Sheila Cherfilus-McCormick,FL,20,D,H8FL20032
M001199,Brian J. Mast,FL,21,R,H6FL18097
F000462,Lois Frankel,FL,22,D,"H2FL14053,H2FL22080"
M001217,Jared Moskowitz,FL,23,D,H2FL22171
W000808,Frederica S. Wilson,FL,24,D,H0FL17068
W000797,Debbie Wasserman Schultz,FL,25,D,H4FL20023
D000600,Mario Diaz-Balart,FL,26,R,H2FL25018
S000168,Maria Elvira Salazar,FL,27,R,H8FL27185
G000593,Carlos A. Gimenez,FL,28,R,H0FL26036
C001103,"Earl L. ""Buddy"" Carter",GA,1,R,H4GA01039
B000490,"Sanford D. Bishop, Jr.",GA,2,D,H2GA02031
J000311,Brian Jack,GA,3,R,H4GA03126
J000288,"Henry C. ""Hank"" Johnson, Jr.",GA,4,D,H6GA04129
W000788,Nikema Williams,GA,5,D,H0GA05301
M001208,Lucy McBath,GA,6,D,H8GA06393
M001218,Richard McCormick,GA,7,R,H0GA07273
S001189,Austin Scott,GA,8,R,H0GA08099
C001116,Andrew S. Clyde,GA,9,R,H0GA09246
C001129,Mike Collins,GA,10,R,H4GA10071
L000583,Barry Loudermilk,GA,11,R,H4GA11061
A000372,Rick W. Allen,GA,12,R,H2GA12121
S001157,David Scott,GA,13,D,H2GA13012
G000596,Marjorie Taylor Greene,GA,14,R,H0GA06192
M001219,James C. Moylan,GU,0,R,H2GU01031
C001055,Ed Case,HI,1,D,H2HI02128
T000487,Jill N. Tokuda,HI,2,D,H2HI02581
M001215,Mariannette Miller-Meeks,IA,1,R,H8IA02043
H001091,Ashley Hinson,IA,2,R,H0IA01174
N000193,Zachary Nunn,IA,3,R,H2IA03119
F000446,Randy Feenstra,IA,4,R,H0IA04145
F000469,Russ Fulcher,ID,1,R,H8ID01124
S001148,Michael K. Simpson,ID,2,R,H8ID02064
J000309,Jonathan L. Jackson,IL,1,D,H2IL01349
K000385,Robin L. Kelly,IL,2,D,H2IL02172
R000617,Delia C. Ramirez,IL,3,D,H2IL03162
G000586,"Jesús G. ""Chuy"" García",IL,4,D,H8IL04134
Q000023,Mike Quigley,IL,5,D,H0IL05096
C001117,Sean Casten,IL,6,D,H8IL06139
D000096,Danny K. Davis,IL,7,D,H4IL07037
K000391,Raja Krishnamoorthi,IL,8,D,H6IL08147
S001145,Janice D. Schakowsky,IL,9,D,H8IL09067
S001190,Bradley Scott Schneider,IL,10,D,H2IL10068
F000454,Bill Foster,IL,11,D,"H8IL14067,H2IL11124"
B001295,Mike Bost,IL,12,R,H4IL12060
B001315,Nikki Budzinski,IL,13,D,H2IL13153
U000040,Lauren Underwood,IL,14,D,H8IL14174
M001211,Mary E. Miller,IL,15,R,H0IL15129
L000585,Darin LaHood,IL,16,R,H6IL18088
S001225,Eric Sorensen,IL,17,D,H2IL17147
M001214,Frank J. Mrvan,IN,1,D,H0IN01150
Y000067,Rudy Yakym III,IN,2,R,H2IN02295
S001188,Marlin A. Stutzman,IN,3,R,"H0IN03198,S0IN00095"
B001307,James R. Baird,IN,4,R,H8IN04199
S000929,Victoria Spartz,IN,5,R,H0IN05326
S001229,Jefferson Shreve,IN,6,R,H4IN06185
C001072,André Carson,IN,7,D,H8IN07184
M001233,Mark B. Messmer,IN,8,R,H4IN08249
H001093,Erin Houchin,IN,9,R,H6IN09143
M000871,Tracey Mann,KS,1,R,H0KS01123
S001228,Derek Schmidt,KS,2,R,H4KS02164
D000629,Sharice Davids,KS,3,D,H8KS03155
E000298,Ron Estes,KS,4,R,H8KS04112
C001108,James Comer,KY,1,R,H6KY01110
G000558,Brett Guthrie,KY,2,R,H8KY02031
M001220,Morgan McGarvey,KY,3,D,H2KY03206
M001184,Thomas Massie,KY,4,R,H2KY04121
R000395,Harold Rogers,KY,5,R,H0KY05015
B001282,Andy Barr,KY,6,R,H0KY06104
S001176,Steve Scalise,LA,1,R,H0LA01087
C001125,Troy A. Carter,LA,2,D,H2LA02149
H001077,Clay Higgins,LA,3,R,H6LA03148
J000299,Mike Johnson,LA,4,R,H6LA04138
L000595,Julia Letlow,LA,5,R,H2LA05126
F000110,Cleo Fields,LA,6,D,
N000015,Richard E. Neal,MA,1,D,H8MA02041
M000312,James P. McGovern,MA,2,D,H4MA03022
T000482,Lori Trahan,MA,3,D,H8MA03106
A000148,Jake Auchincloss,MA,4,D,H0MA04192
C001101,Katherine M. Clark,MA,5,D,H4MA05084
M001196,Seth Moulton,MA,6,D,H4MA06090
P000617,Ayanna Pressley,MA,7,D,H8MA07032
L000562,Stephen F. Lynch,MA,8,D,"H2MA09072,S0MA00083"
K000375,William R. Keating,MA,9,D,H0MA10082
H001052,Andy Harris,MD,1,R,H8MD01094
O000176,"Johnny Olszewski, Jr.",MD,2,D,H4MD02232
E000301,Sarah Elfreth,MD,3,D,H4MD03156
I000058,Glenn Ivey,MD,4,D,H2MD04315
H000874,Steny H. Hoyer,MD,5,D,H2MD05155
M001232,April McClain Delaney,MD,6,D,H4MD06340
M000687,Kweisi Mfume,MD,7,D,"S6MD03185,H6MD07020,H0MD07114"
R000606,Jamie Raskin,MD,8,D,H6MD08457
P000597,Chellie Pingree,ME,1,D,"H8ME01120,S0ME00038"
G000592,Jared F. Golden,ME,2,D,H8ME02185
B001301,Jack Bergman,MI,1,R,H6MI01226
M001194,John R. Moolenaar,MI,2,R,H4MI04126
S001221,Hillary J. Scholten,MI,3,D,H0MI03316
H001058,Bill Huizenga,MI,4,R,H0MI02094
W000798,Tim Walberg,MI,5,R,H4MI07103
D000624,Debbie Dingell,MI,6,D,H4MI12079
B001321,Tom Barrett,MI,7,R,H2MI07123
M001237,Kristen McDonald Rivet,MI,8,D,H4MI08218
M001136,Lisa C. McClain,MI,9,R,H0MI10287
J000307,John James,MI,10,R,H2MI10150
S001215,Haley M. Stevens,MI,11,D,H8MI11254
T000481,Rashida Tlaib,MI,12,D,H8MI13250
T000488,Shri Thanedar,MI,13,D,H2MI13204
F000475,Brad Finstad,MN,1,R,H2MN01223
C001119,Angie Craig,MN,2,D,H6MN02131
M001234,Kelly Morrison,MN,3,D,H4MN03118
M001143,Betty McCollum,MN,4,D,H0MN04049
O000173,Ilhan Omar,MN,5,D,H8MN05239
E000294,Tom Emmer,MN,6,R,H4MN06087
F000470,Michelle Fischbach,MN,7,R,H0MN07091
S001212,Pete Stauber,MN,8,R,H8MN08043
B001324,Wesley Bell,MO,1,D,H4MO01134
W000812,Ann Wagner,MO,2,R,H2MO02102
O000177,"Robert F. Onder, Jr.",MO,3,R,H8MO09146
A000379,Mark Alford,MO,4,R,H2MO04207
C001061,Emanuel Cleaver,MO,5,D,H4MO05234
G000546,Sam Graves,MO,6,R,H0MO06073
B001316,Eric Burlison,MO,7,R,H2MO07143
S001195,Jason Smith,MO,8,R,H4MO08162
K000404,Kimberlyn King-Hinds,MP,0,R,H4MP01022
K000388,Trent Kelly,MS,1,R,H6MS01131
T000193,Bennie G. Thompson,MS,2,D,H4MS02068
G000591,Michael Guest,MS,3,R,H8MS03125
E000235,Mike Ezell,MS,4,R,H2MS04258
Z000018,Ryan K. Zinke,MT,1,R,H4MT01041
D000634,Troy Downing,MT,2,R,H4MT02098
D000230,Donald G. Davis,NC,1,D,H2NC02287
R000305,Deborah K. Ross,NC,2,D,H0NC02125
M001210,Gregory F. Murphy,NC,3,R,H0NC03172
F000477,Valerie P. Foushee,NC,4,D,H2NC06114
F000450,Virginia Foxx,NC,5,R,H4NC05146
M001240,Addison P. McDowell,NC,6,R,H4NC06177
R000603,David Rouzer,NC,7,R,H2NC07096
H001102,Mark Harris,NC,8,R,H6NC09200
H001067,Richard Hudson,NC,9,R,H2NC08185
H001101,Pat Harrigan,NC,10,R,H2NC13243
E000246,Chuck Edwards,NC,11,R,H2NC14050
A000370,Alma S. Adams,NC,12,D,H4NC12100
K000405,Brad Knott,NC,13,R,H4NC13116
M001236,Tim Moore,NC,14,R,H4NC14015
F000482,Julie Fedorchak,ND,0,R,H4ND00061
F000474,Mike Flood,NE,1,R,H2NE01118
B001298,Don Bacon,NE,2,R,H6NE02125
S001172,Adrian Smith,NE,3,R,H6NE03115
P000614,Chris Pappas,NH,1,D,H8NH01210
G000604,Maggie Goodlander,NH,2,D,H4NH02399
N000188,Donald Norcross,NJ,1,D,H4NJ01084
V000133,Jefferson Van Drew,NJ,2,R,H8NJ02166
C001136,"Herbert C. Conaway, Jr.",NJ,3,D,H4NJ03080
S000522,Christopher H. Smith,NJ,4,R,H8NJ04014
G000583,Josh Gottheimer,NJ,5,D,H6NJ05171
P000034,"Frank Pallone, Jr.",NJ,6,D,"H8NJ03073,S6NJ00263"
K000398,"Thomas H. Kean, Jr.",NJ,7,R,H0NJ07261
M001226,Robert Menendez,NJ,8,D,H2NJ08232
P000621,Nellie Pou,NJ,9,D,H4NJ09194
M001229,LaMonica McIver,NJ,10,D,H4NJ10176
S001207,Mikie Sherrill,NJ,11,D,H8NJ11142
W000822,Bonnie Watson Coleman,NJ,12,D,H4NJ12149
S001218,Melanie A. Stansbury,NM,1,D,H2NM01144
V000136,Gabe Vasquez,NM,2,D,H2NM02191
